# ===== SKYLYTICS MOCK DATA — IAH (George Bush Intercontinental) =====
# Matches ConnectedMockData.swift deterministic values

## DASHBOARD STATS
active_nodes,high_risk_count,est_impact_minutes,net_sync
1978,445,5.3,0.67

## HOURLY DELAY PATTERN (avg minutes per hour)
01:00,03:00,05:00,07:00,09:00,11:00,13:00,15:00,17:00,19:00,21:00,23:00
7,11,17,26,21,32,28,38,42,30,15,8

## TOP RISK ROUTES
origin,destination,risk_score,avg_delay_minutes
IAH,MSP,0.42,51
IAH,DTW,0.59,18
IAH,JFK,0.76,25
IAH,LAX,0.33,32
IAH,ATL,0.5,39

## FLIGHTS (42 departing + 14 arriving = 42 total)
id,callsign,airline,airline_code,flight_direction,origin,destination,dep_time,status,delay_minutes,delay_probability_%,progress_%,altitude_ft,speed_kts,aircraft_type,tail_number,gate
CM-506,DL606,Delta,DL,departing,IAH,JFK,10:14,atRisk,94,69.0,15.0,30000,400,Boeing 777,N122SK,C3
CM-507,WN607,Southwest,WN,departing,IAH,LAX,12:21,delayed,101,70.0,20.0,31000,410,Airbus A321neo,N123SK,D4
CM-510,UA610,United,UA,departing,IAH,SFO,18:42,delayed,37,73.0,35.0,34000,440,Boeing 737-800,N126SK,B7
CM-512,HA612,Hawaiian,HA,departing,IAH,DEN,22:56,atRisk,51,75.0,45.0,36000,460,Boeing 777,N128SK,D9
CM-515,F9615,Frontier,F9,departing,IAH,BOS,10:17,atRisk,72,78.0,60.0,39000,490,Embraer E175,N131SK,B12
CM-517,WN617,Southwest,WN,departing,IAH,PHX,14:31,delayed,86,80.0,70.0,41000,510,Airbus A320,N133SK,D14
CM-521,AS621,Alaska Airlines,AS,departing,IAH,LAX,22:59,atRisk,29,84.0,90.0,30000,410,Embraer E175,N137SK,C18
CM-522,HA622,Hawaiian,HA,departing,IAH,ATL,06:06,delayed,36,85.0,5.0,31000,420,Boeing 737-800,N138SK,D19
CM-526,DL626,Delta,DL,departing,IAH,DEN,14:34,delayed,64,89.0,25.0,35000,460,Boeing 737 MAX 8,N142SK,C23
CM-528,NK628,Spirit,NK,departing,IAH,MIA,18:48,atRisk,78,91.0,35.0,37000,480,Boeing 737-800,N144SK,E25
CM-531,AS631,Alaska Airlines,AS,departing,IAH,PHX,06:09,delayed,99,94.0,50.0,40000,510,Airbus A321neo,N147SK,C28
CM-533,AA633,American Airlines,AA,departing,IAH,DTW,10:23,atRisk,28,56.0,60.0,42000,390,Embraer E175,N149SK,E30
CM-536,DL636,Delta,DL,departing,IAH,ATL,16:44,atRisk,49,59.0,75.0,30000,420,Boeing 777,N152SK,C3
CM-538,NK638,Spirit,NK,departing,IAH,SFO,20:58,delayed,63,61.0,85.0,32000,440,Boeing 737 MAX 8,N154SK,E5
CM-541,AS641,Alaska Airlines,AS,departing,IAH,SEA,08:19,atRisk,84,64.0,10.0,35000,470,Airbus A320,N157SK,C8
CM-543,AA643,American Airlines,AA,departing,IAH,BOS,12:33,delayed,98,66.0,20.0,37000,490,Airbus A321neo,N159SK,E10
CM-11,WN111,Southwest,WN,arriving,JFK,IAH,10:17,atRisk,97,66.0,60.0,39000,490,Embraer E175,N211SK,B12
CM-39,F9139,Frontier,F9,arriving,JFK,IAH,12:33,delayed,38,94.0,20.0,37000,490,Airbus A321neo,N239SK,E10
CM-66,G4166,Allegiant,G4,arriving,LAX,IAH,18:48,atRisk,23,80.0,35.0,37000,480,Boeing 737-800,N284SK,E25
CM-121,AS221,Alaska Airlines,AS,arriving,ATL,IAH,08:19,atRisk,34,94.0,10.0,35000,470,Airbus A320,N357SK,C8
CM-134,AS234,Alaska Airlines,AS,arriving,ORD,IAH,22:56,atRisk,91,66.0,45.0,36000,460,Boeing 777,N388SK,D9
CM-148,F9248,Frontier,F9,arriving,ORD,IAH,14:34,delayed,104,80.0,25.0,35000,460,Boeing 737 MAX 8,N402SK,C23
CM-504,B6604,JetBlue,B6,departing,IAH,MSP,06:00,inAir,0,17.0,5.0,28000,380,Boeing 737-800,N120SK,A1
CM-505,F9605,Frontier,F9,departing,IAH,DTW,08:07,inAir,3,18.0,10.0,29000,390,Airbus A320,N121SK,B2
CM-508,NK608,Spirit,NK,departing,IAH,ATL,14:28,inAir,12,21.0,25.0,32000,420,Boeing 737 MAX 8,N124SK,E5
CM-509,G4609,Allegiant,G4,departing,IAH,ORD,16:35,inAir,1,22.0,30.0,33000,430,Embraer E175,N125SK,A6
CM-511,AS611,Alaska Airlines,AS,departing,IAH,DFW,20:49,inAir,7,24.0,40.0,35000,450,Airbus A320,N127SK,C8
CM-513,AA613,American Airlines,AA,departing,IAH,SEA,06:03,inAir,13,26.0,50.0,37000,470,Airbus A321neo,N129SK,E10
CM-514,B6614,JetBlue,B6,departing,IAH,MIA,08:10,inAir,2,27.0,55.0,38000,480,Boeing 737 MAX 8,N130SK,A11
CM-516,DL616,Delta,DL,departing,IAH,LGA,12:24,inAir,8,29.0,65.0,40000,500,Boeing 737-800,N132SK,C13
CM-519,G4619,Allegiant,G4,departing,IAH,DTW,18:45,inAir,3,32.0,80.0,28000,390,Airbus A321neo,N135SK,A16
CM-520,UA620,United,UA,departing,IAH,JFK,20:52,inAir,6,5.0,85.0,29000,400,Boeing 737 MAX 8,N136SK,B17
CM-523,AA623,American Airlines,AA,departing,IAH,ORD,08:13,inAir,1,8.0,10.0,32000,430,Airbus A320,N139SK,E20
CM-525,F9625,Frontier,F9,departing,IAH,DFW,12:27,inAir,7,10.0,20.0,34000,450,Airbus A321neo,N141SK,B22
CM-527,WN627,Southwest,WN,departing,IAH,SEA,16:41,inAir,13,12.0,30.0,36000,470,Embraer E175,N143SK,D24
CM-529,G4629,Allegiant,G4,departing,IAH,BOS,20:55,inAir,5,14.0,40.0,38000,490,Airbus A320,N145SK,A26
CM-530,UA630,United,UA,departing,IAH,LGA,22:02,inAir,8,15.0,45.0,39000,500,Boeing 777,N146SK,B27
CM-532,HA632,Hawaiian,HA,departing,IAH,MSP,08:16,inAir,0,17.0,55.0,41000,380,Boeing 737 MAX 8,N148SK,D29
CM-534,B6634,JetBlue,B6,departing,IAH,JFK,12:30,inAir,6,19.0,65.0,28000,400,Boeing 737-800,N150SK,A1
CM-537,WN637,Southwest,WN,departing,IAH,ORD,18:51,inAir,1,22.0,80.0,31000,430,Airbus A321neo,N153SK,D4
CM-539,G4639,Allegiant,G4,departing,IAH,DFW,22:05,inAir,7,24.0,90.0,33000,450,Embraer E175,N155SK,A6
CM-540,UA640,United,UA,departing,IAH,DEN,06:12,inAir,10,25.0,5.0,34000,460,Boeing 737-800,N156SK,B7
