# ===== SKYLYTICS MOCK DATA — MSP (Minneapolis-Saint Paul International) =====
# Matches ConnectedMockData.swift deterministic values

## DASHBOARD STATS
active_nodes,high_risk_count,est_impact_minutes,net_sync
1845,398,4.9,0.63

## HOURLY DELAY PATTERN (avg minutes per hour)
01:00,03:00,05:00,07:00,09:00,11:00,13:00,15:00,17:00,19:00,21:00,23:00
6,10,15,23,19,29,26,34,38,27,13,7

## TOP RISK ROUTES
origin,destination,risk_score,avg_delay_minutes
MSP,DTW,0.53,54
MSP,JFK,0.7,21
MSP,LAX,0.87,28
MSP,ATL,0.44,35
MSP,ORD,0.61,42

## FLIGHTS (42 departing + 14 arriving = 42 total)
id,callsign,airline,airline_code,flight_direction,origin,destination,dep_time,status,delay_minutes,delay_probability_%,progress_%,altitude_ft,speed_kts,aircraft_type,tail_number,gate
CM-548,F9648,Frontier,F9,departing,MSP,LAX,10:14,atRisk,99,70.0,15.0,30000,400,Boeing 777,N182SK,C3
CM-549,DL649,Delta,DL,departing,MSP,ATL,12:21,delayed,21,71.0,20.0,31000,410,Airbus A321neo,N183SK,D4
CM-552,G4652,Allegiant,G4,departing,MSP,DFW,18:42,delayed,42,74.0,35.0,34000,440,Boeing 737-800,N186SK,B7
CM-554,AS654,Alaska Airlines,AS,departing,MSP,SEA,22:56,atRisk,56,76.0,45.0,36000,460,Boeing 777,N188SK,D9
CM-557,B6657,JetBlue,B6,departing,MSP,LGA,10:17,atRisk,77,79.0,60.0,39000,490,Embraer E175,N191SK,B12
CM-559,DL659,Delta,DL,departing,MSP,IAH,14:31,delayed,91,81.0,70.0,41000,510,Airbus A320,N193SK,D14
CM-563,UA663,United,UA,departing,MSP,ATL,22:59,atRisk,34,85.0,90.0,30000,410,Embraer E175,N197SK,C18
CM-564,AS664,Alaska Airlines,AS,departing,MSP,ORD,06:06,delayed,41,86.0,5.0,31000,420,Boeing 737-800,N198SK,D19
CM-568,F9668,Frontier,F9,departing,MSP,SEA,14:34,delayed,69,90.0,25.0,35000,460,Boeing 737 MAX 8,N202SK,C23
CM-570,WN670,Southwest,WN,departing,MSP,BOS,18:48,atRisk,83,92.0,35.0,37000,480,Boeing 737-800,N204SK,E25
CM-573,UA673,United,UA,departing,MSP,IAH,06:09,delayed,104,55.0,50.0,40000,510,Airbus A321neo,N207SK,C28
CM-575,HA675,Hawaiian,HA,departing,MSP,JFK,10:23,atRisk,33,57.0,60.0,42000,390,Embraer E175,N209SK,E30
CM-578,F9678,Frontier,F9,departing,MSP,ORD,16:44,atRisk,54,60.0,75.0,30000,420,Boeing 777,N212SK,C3
