# ===== SKYLYTICS MOCK DATA — DTW (Detroit Metropolitan Wayne County) =====
# Matches ConnectedMockData.swift deterministic values

## DASHBOARD STATS
active_nodes,high_risk_count,est_impact_minutes,net_sync
2267,578,6.7,0.57

## HOURLY DELAY PATTERN (avg minutes per hour)
01:00,03:00,05:00,07:00,09:00,11:00,13:00,15:00,17:00,19:00,21:00,23:00
8,12,18,28,22,34,30,40,44,32,16,9

## TOP RISK ROUTES
origin,destination,risk_score,avg_delay_minutes
DTW,JFK,0.64,17
DTW,LAX,0.81,24
DTW,ATL,0.38,31
DTW,ORD,0.55,38
DTW,SFO,0.72,45

## FLIGHTS (42 departing + 14 arriving = 42 total)
id,callsign,airline,airline_code,flight_direction,origin,destination,dep_time,status,delay_minutes,delay_probability_%,progress_%,altitude_ft,speed_kts,aircraft_type,tail_number,gate
CM-590,B6690,JetBlue,B6,departing,DTW,ATL,10:14,atRisk,104,71.0,15.0,30000,400,Boeing 777,N242SK,C3
CM-591,F9691,Frontier,F9,departing,DTW,ORD,12:21,delayed,26,72.0,20.0,31000,410,Airbus A321neo,N243SK,D4
CM-594,NK694,Spirit,NK,departing,DTW,DEN,18:42,delayed,47,75.0,35.0,34000,440,Boeing 737-800,N246SK,B7
CM-596,UA696,United,UA,departing,DTW,MIA,22:56,atRisk,61,77.0,45.0,36000,460,Boeing 777,N248SK,D9
CM-599,AA699,American Airlines,AA,departing,DTW,PHX,10:17,atRisk,82,80.0,60.0,39000,490,Embraer E175,N251SK,B12
CM-601,F9701,Frontier,F9,departing,DTW,MSP,14:31,delayed,96,82.0,70.0,41000,510,Airbus A320,N253SK,D14
CM-605,G4705,Allegiant,G4,departing,DTW,ORD,22:59,atRisk,39,86.0,90.0,30000,410,Embraer E175,N257SK,C18
CM-606,UA706,United,UA,departing,DTW,SFO,06:06,delayed,46,87.0,5.0,31000,420,Boeing 737-800,N258SK,D19
CM-610,B6710,JetBlue,B6,departing,DTW,MIA,14:34,delayed,74,91.0,25.0,35000,460,Boeing 737 MAX 8,N262SK,C23
CM-612,DL712,Delta,DL,departing,DTW,LGA,18:48,atRisk,88,93.0,35.0,37000,480,Boeing 737-800,N264SK,E25
