# ===== SKYLYTICS MOCK DATA — JFK (John F. Kennedy International) =====
# Matches ConnectedMockData.swift deterministic values

## DASHBOARD STATS
active_nodes,high_risk_count,est_impact_minutes,net_sync
1847,423,4.2,0.62

## HOURLY DELAY PATTERN (avg minutes per hour)
01:00,03:00,05:00,07:00,09:00,11:00,13:00,15:00,17:00,19:00,21:00,23:00
8,12,18,29,22,35,31,44,48,38,21,13

## TOP RISK ROUTES
origin,destination,risk_score,avg_delay_minutes
JFK,LAX,0.3,15
JFK,ATL,0.47,22
JFK,ORD,0.64,29
JFK,SFO,0.81,36
JFK,DFW,0.38,43

## FLIGHTS (42 departing + 14 arriving = 42 total)
id,callsign,airline,airline_code,flight_direction,origin,destination,dep_time,status,delay_minutes,delay_probability_%,progress_%,altitude_ft,speed_kts,aircraft_type,tail_number,gate
CM-2,NK102,Spirit,NK,departing,JFK,ORD,10:14,atRisk,34,57.0,15.0,30000,400,Boeing 777,N202SK,C3
CM-3,G4103,Allegiant,G4,departing,JFK,SFO,12:21,delayed,41,58.0,20.0,31000,410,Airbus A321neo,N203SK,D4
CM-6,HA106,Hawaiian,HA,departing,JFK,SEA,18:42,delayed,62,61.0,35.0,34000,440,Boeing 737-800,N206SK,B7
CM-8,B6108,JetBlue,B6,departing,JFK,BOS,22:56,atRisk,76,63.0,45.0,36000,460,Boeing 777,N208SK,D9
CM-11,WN111,Southwest,WN,departing,JFK,IAH,10:17,atRisk,97,66.0,60.0,39000,490,Embraer E175,N211SK,B12
CM-13,G4113,Allegiant,G4,departing,JFK,DTW,14:31,delayed,26,68.0,70.0,41000,510,Airbus A320,N213SK,D14
CM-17,AA117,American Airlines,AA,departing,JFK,SFO,22:59,atRisk,54,72.0,90.0,30000,410,Embraer E175,N217SK,C18
CM-18,B6118,JetBlue,B6,departing,JFK,DFW,06:06,delayed,61,73.0,5.0,31000,420,Boeing 737-800,N218SK,D19
CM-22,NK122,Spirit,NK,departing,JFK,BOS,14:34,delayed,89,77.0,25.0,35000,460,Boeing 737 MAX 8,N222SK,C23
CM-24,UA124,United,UA,departing,JFK,PHX,18:48,atRisk,103,79.0,35.0,37000,480,Boeing 737-800,N224SK,E25
