# ===== SKYLYTICS MOCK DATA — LAX (Los Angeles International) =====
# Matches ConnectedMockData.swift deterministic values

## DASHBOARD STATS
active_nodes,high_risk_count,est_impact_minutes,net_sync
2134,587,6.8,0.54

## HOURLY DELAY PATTERN (avg minutes per hour)
01:00,03:00,05:00,07:00,09:00,11:00,13:00,15:00,17:00,19:00,21:00,23:00
6,10,15,25,33,41,45,52,47,35,19,11

## TOP RISK ROUTES
origin,destination,risk_score,avg_delay_minutes
LAX,ATL,0.41,18
LAX,ORD,0.58,25
LAX,SFO,0.75,32
LAX,DFW,0.32,39
LAX,DEN,0.49,46

## FLIGHTS (42 departing + 14 arriving = 42 total)
id,callsign,airline,airline_code,flight_direction,origin,destination,dep_time,status,delay_minutes,delay_probability_%,progress_%,altitude_ft,speed_kts,aircraft_type,tail_number,gate
CM-44,WN144,Southwest,WN,departing,LAX,SFO,10:14,atRisk,39,58.0,15.0,30000,400,Boeing 777,N262SK,C3
CM-45,NK145,Spirit,NK,departing,LAX,DFW,12:21,delayed,46,59.0,20.0,31000,410,Airbus A321neo,N263SK,D4
CM-48,AS148,Alaska Airlines,AS,departing,LAX,MIA,18:42,delayed,67,62.0,35.0,34000,440,Boeing 737-800,N266SK,B7
CM-50,AA150,American Airlines,AA,departing,LAX,LGA,22:56,atRisk,81,64.0,45.0,36000,460,Boeing 777,N268SK,D9
CM-53,DL153,Delta,DL,departing,LAX,MSP,10:17,atRisk,102,67.0,60.0,39000,490,Embraer E175,N271SK,B12
CM-55,NK155,Spirit,NK,departing,LAX,JFK,14:31,delayed,31,69.0,70.0,41000,510,Airbus A320,N273SK,D14
CM-59,HA159,Hawaiian,HA,departing,LAX,DFW,22:59,atRisk,59,73.0,90.0,30000,410,Embraer E175,N277SK,C18
CM-60,AA160,American Airlines,AA,departing,LAX,DEN,06:06,delayed,66,74.0,5.0,31000,420,Boeing 737-800,N278SK,D19
CM-64,WN164,Southwest,WN,departing,LAX,LGA,14:34,delayed,94,78.0,25.0,35000,460,Boeing 737 MAX 8,N282SK,C23
CM-66,G4166,Allegiant,G4,departing,LAX,IAH,18:48,atRisk,23,80.0,35.0,37000,480,Boeing 737-800,N284SK,E25
CM-69,HA169,Hawaiian,HA,departing,LAX,JFK,06:09,delayed,44,83.0,50.0,40000,510,Airbus A321neo,N287SK,C28
