# ===== SKYLYTICS MOCK DATA — LGA (LaGuardia Airport) =====
# Matches ConnectedMockData.swift deterministic values

## DASHBOARD STATS
active_nodes,high_risk_count,est_impact_minutes,net_sync
1789,401,4.3,0.69

## HOURLY DELAY PATTERN (avg minutes per hour)
01:00,03:00,05:00,07:00,09:00,11:00,13:00,15:00,17:00,19:00,21:00,23:00
9,13,19,28,23,35,31,40,44,32,17,10

## TOP RISK ROUTES
origin,destination,risk_score,avg_delay_minutes
LGA,PHX,0.8,45
LGA,IAH,0.37,52
LGA,MSP,0.54,19
LGA,DTW,0.71,26
LGA,JFK,0.88,33

## FLIGHTS (42 departing + 14 arriving = 42 total)
id,callsign,airline,airline_code,flight_direction,origin,destination,dep_time,status,delay_minutes,delay_probability_%,progress_%,altitude_ft,speed_kts,aircraft_type,tail_number,gate
CM-422,NK522,Spirit,NK,departing,LGA,MSP,10:14,atRisk,84,67.0,15.0,30000,400,Boeing 777,N802SK,C3
CM-423,G4523,Allegiant,G4,departing,LGA,DTW,12:21,delayed,91,68.0,20.0,31000,410,Airbus A321neo,N803SK,D4
CM-426,HA526,Hawaiian,HA,departing,LGA,ATL,18:42,delayed,27,71.0,35.0,34000,440,Boeing 737-800,N806SK,B7
CM-428,B6528,JetBlue,B6,departing,LGA,SFO,22:56,atRisk,41,73.0,45.0,36000,460,Boeing 777,N808SK,D9
CM-431,WN531,Southwest,WN,departing,LGA,SEA,10:17,atRisk,62,76.0,60.0,39000,490,Embraer E175,N811SK,B12
CM-433,G4533,Allegiant,G4,departing,LGA,BOS,14:31,delayed,76,78.0,70.0,41000,510,Airbus A320,N813SK,D14
CM-437,AA537,American Airlines,AA,departing,LGA,DTW,22:59,atRisk,104,82.0,90.0,30000,410,Embraer E175,N817SK,C18
CM-438,B6538,JetBlue,B6,departing,LGA,JFK,06:06,delayed,26,83.0,5.0,31000,420,Boeing 737-800,N818SK,D19
CM-442,NK542,Spirit,NK,departing,LGA,SFO,14:34,delayed,54,87.0,25.0,35000,460,Boeing 737 MAX 8,N822SK,C23
CM-444,UA544,United,UA,departing,LGA,DEN,18:48,atRisk,68,89.0,35.0,37000,480,Boeing 737-800,N824SK,E25
CM-447,AA547,American Airlines,AA,departing,LGA,BOS,06:09,delayed,89,92.0,50.0,40000,510,Airbus A321neo,N827SK,C28
CM-449,F9549,Frontier,F9,departing,LGA,IAH,10:23,atRisk,103,94.0,60.0,42000,390,Embraer E175,N829SK,E30
