# ===== SKYLYTICS MOCK DATA — MIA (Miami International) =====
# Matches ConnectedMockData.swift deterministic values

## DASHBOARD STATS
active_nodes,high_risk_count,est_impact_minutes,net_sync
1634,289,3.5,0.74

## HOURLY DELAY PATTERN (avg minutes per hour)
01:00,03:00,05:00,07:00,09:00,11:00,13:00,15:00,17:00,19:00,21:00,23:00
6,9,13,21,27,32,36,43,40,29,14,8

## TOP RISK ROUTES
origin,destination,risk_score,avg_delay_minutes
MIA,BOS,0.58,39
MIA,LGA,0.75,46
MIA,PHX,0.32,53
MIA,IAH,0.49,20
MIA,MSP,0.66,27

## FLIGHTS (42 departing + 14 arriving = 42 total)
id,callsign,airline,airline_code,flight_direction,origin,destination,dep_time,status,delay_minutes,delay_probability_%,progress_%,altitude_ft,speed_kts,aircraft_type,tail_number,gate
CM-338,UA438,United,UA,departing,MIA,PHX,10:14,atRisk,74,65.0,15.0,30000,400,Boeing 777,N682SK,C3
CM-339,AS439,Alaska Airlines,AS,departing,MIA,IAH,12:21,delayed,81,66.0,20.0,31000,410,Airbus A321neo,N683SK,D4
CM-342,B6442,JetBlue,B6,departing,MIA,JFK,18:42,delayed,102,69.0,35.0,34000,440,Boeing 737-800,N686SK,B7
CM-344,DL444,Delta,DL,departing,MIA,ATL,22:56,atRisk,31,71.0,45.0,36000,460,Boeing 777,N688SK,D9
CM-347,G4447,Allegiant,G4,departing,MIA,DFW,10:17,atRisk,52,74.0,60.0,39000,490,Embraer E175,N691SK,B12
CM-349,AS449,Alaska Airlines,AS,departing,MIA,SEA,14:31,delayed,66,76.0,70.0,41000,510,Airbus A320,N693SK,D14
CM-353,F9453,Frontier,F9,departing,MIA,IAH,22:59,atRisk,94,80.0,90.0,30000,410,Embraer E175,N697SK,C18
CM-354,DL454,Delta,DL,departing,MIA,MSP,06:06,delayed,101,81.0,5.0,31000,420,Boeing 737-800,N698SK,D19
CM-358,UA458,United,UA,departing,MIA,ATL,14:34,delayed,44,85.0,25.0,35000,460,Boeing 737 MAX 8,N702SK,C23
CM-360,HA460,Hawaiian,HA,departing,MIA,SFO,18:48,atRisk,58,87.0,35.0,37000,480,Boeing 737-800,N704SK,E25
CM-363,F9463,Frontier,F9,departing,MIA,SEA,06:09,delayed,79,90.0,50.0,40000,510,Airbus A321neo,N707SK,C28
CM-365,WN465,Southwest,WN,departing,MIA,LGA,10:23,atRisk,93,92.0,60.0,42000,390,Embraer E175,N709SK,E30
CM-368,UA468,United,UA,departing,MIA,MSP,16:44,atRisk,29,55.0,75.0,30000,420,Boeing 777,N712SK,C3
CM-370,HA470,Hawaiian,HA,departing,MIA,JFK,20:58,delayed,43,57.0,85.0,32000,440,Boeing 737 MAX 8,N714SK,E5
CM-373,F9473,Frontier,F9,departing,MIA,ORD,08:19,atRisk,64,60.0,10.0,35000,470,Airbus A320,N717SK,C8
CM-375,WN475,Southwest,WN,departing,MIA,DFW,12:33,delayed,78,62.0,20.0,37000,490,Airbus A321neo,N719SK,E10
CM-48,AS148,Alaska Airlines,AS,arriving,LAX,MIA,18:42,delayed,67,62.0,35.0,34000,440,Boeing 737-800,N266SK,B7
CM-76,G4176,Allegiant,G4,arriving,LAX,MIA,20:58,delayed,93,90.0,85.0,32000,440,Boeing 737 MAX 8,N294SK,E5
CM-144,AS244,Alaska Airlines,AS,arriving,ORD,MIA,06:06,delayed,76,76.0,5.0,31000,420,Boeing 737-800,N398SK,D19
CM-158,F9258,Frontier,F9,arriving,ORD,MIA,16:44,atRisk,89,90.0,75.0,30000,420,Boeing 777,N412SK,C3
CM-171,F9271,Frontier,F9,arriving,SFO,MIA,12:21,delayed,61,62.0,20.0,31000,410,Airbus A321neo,N443SK,D4
CM-185,G4285,Allegiant,G4,arriving,SFO,MIA,22:59,atRisk,74,76.0,90.0,30000,410,Embraer E175,N457SK,C18
CM-336,NK436,Spirit,NK,departing,MIA,BOS,06:00,inAir,0,13.0,5.0,28000,380,Boeing 737-800,N680SK,A1
CM-337,G4437,Allegiant,G4,departing,MIA,LGA,08:07,inAir,3,14.0,10.0,29000,390,Airbus A320,N681SK,B2
CM-340,HA440,Hawaiian,HA,departing,MIA,MSP,14:28,inAir,12,17.0,25.0,32000,420,Boeing 737 MAX 8,N684SK,E5
CM-341,AA441,American Airlines,AA,departing,MIA,DTW,16:35,inAir,1,18.0,30.0,33000,430,Embraer E175,N685SK,A6
CM-343,F9443,Frontier,F9,departing,MIA,LAX,20:49,inAir,7,20.0,40.0,35000,450,Airbus A320,N687SK,C8
CM-345,WN445,Southwest,WN,departing,MIA,ORD,06:03,inAir,13,22.0,50.0,37000,470,Airbus A321neo,N689SK,E10
CM-346,NK446,Spirit,NK,departing,MIA,SFO,08:10,inAir,2,23.0,55.0,38000,480,Boeing 737 MAX 8,N690SK,A11
