# ===== SKYLYTICS MOCK DATA — ORD (O'Hare International) =====
# Matches ConnectedMockData.swift deterministic values

## DASHBOARD STATS
active_nodes,high_risk_count,est_impact_minutes,net_sync
2341,689,7.1,0.48

## HOURLY DELAY PATTERN (avg minutes per hour)
01:00,03:00,05:00,07:00,09:00,11:00,13:00,15:00,17:00,19:00,21:00,23:00
11,16,24,35,28,43,39,48,52,40,23,14

## TOP RISK ROUTES
origin,destination,risk_score,avg_delay_minutes
ORD,SFO,0.63,24
ORD,DFW,0.8,31
ORD,DEN,0.37,38
ORD,SEA,0.54,45
ORD,MIA,0.71,52

## FLIGHTS (42 departing + 14 arriving = 42 total)
id,callsign,airline,airline_code,flight_direction,origin,destination,dep_time,status,delay_minutes,delay_probability_%,progress_%,altitude_ft,speed_kts,aircraft_type,tail_number,gate
CM-128,F9228,Frontier,F9,departing,ORD,DEN,10:14,atRisk,49,60.0,15.0,30000,400,Boeing 777,N382SK,C3
CM-129,DL229,Delta,DL,departing,ORD,SEA,12:21,delayed,56,61.0,20.0,31000,410,Airbus A321neo,N383SK,D4
CM-132,G4232,Allegiant,G4,departing,ORD,LGA,18:42,delayed,77,64.0,35.0,34000,440,Boeing 737-800,N386SK,B7
CM-134,AS234,Alaska Airlines,AS,departing,ORD,IAH,22:56,atRisk,91,66.0,45.0,36000,460,Boeing 777,N388SK,D9
CM-137,B6237,JetBlue,B6,departing,ORD,JFK,10:17,atRisk,27,69.0,60.0,39000,490,Embraer E175,N391SK,B12
CM-139,DL239,Delta,DL,departing,ORD,ATL,14:31,delayed,41,71.0,70.0,41000,510,Airbus A320,N393SK,D14
CM-143,UA243,United,UA,departing,ORD,SEA,22:59,atRisk,69,75.0,90.0,30000,410,Embraer E175,N397SK,C18
CM-144,AS244,Alaska Airlines,AS,departing,ORD,MIA,06:06,delayed,76,76.0,5.0,31000,420,Boeing 737-800,N398SK,D19
CM-148,F9248,Frontier,F9,departing,ORD,IAH,14:34,delayed,104,80.0,25.0,35000,460,Boeing 737 MAX 8,N402SK,C23
CM-150,WN250,Southwest,WN,departing,ORD,DTW,18:48,atRisk,33,82.0,35.0,37000,480,Boeing 737-800,N404SK,E25
CM-153,UA253,United,UA,departing,ORD,ATL,06:09,delayed,54,85.0,50.0,40000,510,Airbus A321neo,N407SK,C28
CM-155,HA255,Hawaiian,HA,departing,ORD,DFW,10:23,atRisk,68,87.0,60.0,42000,390,Embraer E175,N409SK,E30
