# ===== SKYLYTICS MOCK DATA — PHX (Phoenix Sky Harbor International) =====
# Matches ConnectedMockData.swift deterministic values

## DASHBOARD STATS
active_nodes,high_risk_count,est_impact_minutes,net_sync
2156,567,6.2,0.55

## HOURLY DELAY PATTERN (avg minutes per hour)
01:00,03:00,05:00,07:00,09:00,11:00,13:00,15:00,17:00,19:00,21:00,23:00
4,7,11,18,22,26,29,35,32,23,11,6

## TOP RISK ROUTES
origin,destination,risk_score,avg_delay_minutes
PHX,IAH,0.31,48
PHX,MSP,0.48,15
PHX,DTW,0.65,22
PHX,JFK,0.82,29
PHX,LAX,0.39,36

## FLIGHTS (42 departing + 14 arriving = 42 total)
id,callsign,airline,airline_code,flight_direction,origin,destination,dep_time,status,delay_minutes,delay_probability_%,progress_%,altitude_ft,speed_kts,aircraft_type,tail_number,gate
CM-464,WN564,Southwest,WN,departing,PHX,DTW,10:14,atRisk,89,68.0,15.0,30000,400,Boeing 777,N862SK,C3
CM-465,NK565,Spirit,NK,departing,PHX,JFK,12:21,delayed,96,69.0,20.0,31000,410,Airbus A321neo,N863SK,D4
CM-468,AS568,Alaska Airlines,AS,departing,PHX,ORD,18:42,delayed,32,72.0,35.0,34000,440,Boeing 737-800,N866SK,B7
CM-470,AA570,American Airlines,AA,departing,PHX,DFW,22:56,atRisk,46,74.0,45.0,36000,460,Boeing 777,N868SK,D9
CM-473,DL573,Delta,DL,departing,PHX,MIA,10:17,atRisk,67,77.0,60.0,39000,490,Embraer E175,N871SK,B12
CM-475,NK575,Spirit,NK,departing,PHX,LGA,14:31,delayed,81,79.0,70.0,41000,510,Airbus A320,N873SK,D14
CM-479,HA579,Hawaiian,HA,departing,PHX,JFK,22:59,atRisk,24,83.0,90.0,30000,410,Embraer E175,N877SK,C18
CM-480,AA580,American Airlines,AA,departing,PHX,LAX,06:06,delayed,31,84.0,5.0,31000,420,Boeing 737-800,N878SK,D19
CM-484,WN584,Southwest,WN,departing,PHX,DFW,14:34,delayed,59,88.0,25.0,35000,460,Boeing 737 MAX 8,N882SK,C23
CM-486,G4586,Allegiant,G4,departing,PHX,SEA,18:48,atRisk,73,90.0,35.0,37000,480,Boeing 737-800,N884SK,E25
