# ===== SKYLYTICS MOCK DATA — SEA (Seattle-Tacoma International) =====
# Matches ConnectedMockData.swift deterministic values

## DASHBOARD STATS
active_nodes,high_risk_count,est_impact_minutes,net_sync
2298,621,6.4,0.52

## HOURLY DELAY PATTERN (avg minutes per hour)
01:00,03:00,05:00,07:00,09:00,11:00,13:00,15:00,17:00,19:00,21:00,23:00
10,15,21,31,26,39,35,46,50,38,20,12

## TOP RISK ROUTES
origin,destination,risk_score,avg_delay_minutes
SEA,MIA,0.47,36
SEA,BOS,0.64,43
SEA,LGA,0.81,50
SEA,PHX,0.38,17
SEA,IAH,0.55,24

## FLIGHTS (42 departing + 14 arriving = 42 total)
id,callsign,airline,airline_code,flight_direction,origin,destination,dep_time,status,delay_minutes,delay_probability_%,progress_%,altitude_ft,speed_kts,aircraft_type,tail_number,gate
CM-296,AS396,Alaska Airlines,AS,departing,SEA,LGA,10:14,atRisk,69,64.0,15.0,30000,400,Boeing 777,N622SK,C3
CM-297,HA397,Hawaiian,HA,departing,SEA,PHX,12:21,delayed,76,65.0,20.0,31000,410,Airbus A321neo,N623SK,D4
CM-300,F9400,Frontier,F9,departing,SEA,DTW,18:42,delayed,97,68.0,35.0,34000,440,Boeing 737-800,N626SK,B7
CM-302,WN402,Southwest,WN,departing,SEA,LAX,22:56,atRisk,26,70.0,45.0,36000,460,Boeing 777,N628SK,D9
CM-305,UA405,United,UA,departing,SEA,SFO,10:17,atRisk,47,73.0,60.0,39000,490,Embraer E175,N631SK,B12
CM-307,HA407,Hawaiian,HA,departing,SEA,DEN,14:31,delayed,61,75.0,70.0,41000,510,Airbus A320,N633SK,D14
CM-311,DL411,Delta,DL,departing,SEA,PHX,22:59,atRisk,89,79.0,90.0,30000,410,Embraer E175,N637SK,C18
CM-312,WN412,Southwest,WN,departing,SEA,IAH,06:06,delayed,96,80.0,5.0,31000,420,Boeing 737-800,N638SK,D19
CM-316,AS416,Alaska Airlines,AS,departing,SEA,LAX,14:34,delayed,39,84.0,25.0,35000,460,Boeing 737 MAX 8,N642SK,C23
CM-318,AA418,American Airlines,AA,departing,SEA,ORD,18:48,atRisk,53,86.0,35.0,37000,480,Boeing 737-800,N644SK,E25
