Date,Carrier,FlightNumber,Origin,Destination,ScheduledDeparture,DepartureTime,DepartureDelay,TaxiOut,WheelsOff,ScheduledArrival,ArrivalTime,ArrivalDelay,AirTime,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2026-04-01,B6,B6375,ORD,CLT,0323,0323,0,15,0338,0709,0644,-25.0,186,1488,0,0,0,0,0
2026-04-15,AA,AA6649,ATL,ORD,2159,0028,149,18,0046,0354,0558,124.0,315,2520,99,13,12,0,0
2026-03-10,B6,B64736,CLT,JFK,0156,0156,0,24,0220,0540,0538,-2.0,184,1472,0,0,0,0,0
2026-01-16,DL,DL6018,SFO,ORD,1937,1937,0,23,2000,0214,0211,-3.0,357,2856,0,0,0,0,0
2026-03-08,UA,UA1279,LAS,DEN,1703,1703,0,27,1730,2031,2010,-21.0,168,1344,0,0,0,0,0
2026-03-27,AS,AS9102,SFO,DEN,1749,1749,0,29,1818,2116,2117,1.0,167,1336,0,0,0,0,0
2026-04-28,WN,WN4145,LAS,CLT,1631,1631,0,28,1659,1916,1857,-19.0,125,1000,0,0,0,0,0
2026-04-12,AS,AS1680,ORD,CLT,0139,0343,124,25,0408,0523,0725,122.0,184,1472,12,44,66,0,0
2026-04-14,UA,UA6067,ATL,DEN,0923,0923,0,30,0953,1418,1404,-14.0,255,2040,0,0,0,0,0
2026-04-17,DL,DL8223,LAS,JFK,2138,2138,0,21,2159,0342,0333,-9.0,324,2592,0,0,0,0,0
2026-04-28,DL,DL1719,DFW,LAX,0923,1023,60,26,1049,1602,1638,36.0,359,2872,10,21,5,0,0
2026-02-28,DL,DL8309,CLT,LAS,0711,0711,0,11,0722,1113,1055,-18.0,202,1616,0,0,0,0,0
2026-03-01,UA,UA1008,ATL,SFO,2314,2314,0,27,2341,0229,0212,-17.0,155,1240,0,0,0,0,0
2026-02-11,AA,AA4517,DEN,LAS,1646,1835,109,19,1854,2143,2323,100.0,257,2056,34,12,54,0,0
2026-03-10,AA,AA4989,DEN,SEA,0505,0720,135,11,0731,0928,1116,108.0,223,1784,30,15,63,0,0
2026-03-15,UA,UA1559,LAS,SFO,1735,1735,0,17,1752,2137,2130,-7.0,202,1616,0,0,0,0,0
2026-04-24,B6,B64149,LAX,DEN,2312,2312,0,27,2339,0110,0109,-1.0,78,624,0,0,0,0,0
2026-01-23,AA,AA8074,LAX,JFK,1920,1920,0,29,1949,2106,2045,-21.0,66,528,0,0,0,0,0
2026-01-14,DL,DL1057,DFW,JFK,0542,0813,151,16,0829,1130,1335,125.0,308,2464,101,2,22,0,0
2026-04-29,AS,AS4782,JFK,SFO,1212,1257,45,12,1309,1506,1517,11.0,134,1072,0,0,0,0,0
2026-04-22,AS,AS4640,JFK,DFW,0613,0613,0,30,0643,1228,1208,-20.0,335,2680,0,0,0,0,0
2026-03-30,AS,AS2814,ATL,LAS,0027,0027,0,23,0050,0241,0231,-10.0,94,752,0,0,0,0,0
2026-01-20,DL,DL9044,LAX,CLT,0739,0739,0,22,0801,1216,1212,-4.0,237,1896,0,0,0,0,0
2026-05-01,AS,AS8941,ATL,LAS,2308,2308,0,29,2337,0428,0407,-21.0,280,2240,0,0,0,0,0
2026-02-15,AS,AS9046,CLT,LAS,0949,0949,0,20,1009,1305,1305,0.0,156,1248,0,0,0,0,0
2026-01-06,AS,AS1697,SFO,DFW,0255,0255,0,14,0309,0549,0517,-32.0,134,1072,0,0,0,0,0
2026-02-09,B6,B63384,JFK,ORD,0822,0822,0,20,0842,1403,1342,-21.0,301,2408,0,0,0,0,0
2026-01-13,DL,DL6056,DEN,SEA,2004,2004,0,25,2029,2244,2239,-5.0,120,960,0,0,0,0,0
2026-01-08,AS,AS5277,SFO,ORD,2015,2015,0,20,2035,0153,0135,-18.0,298,2384,0,0,0,0,0
2026-04-27,AA,AA3078,LAS,SFO,0520,0520,0,27,0547,1143,1134,-9.0,343,2744,0,0,0,0,0
2026-03-16,UA,UA4397,JFK,CLT,2357,2357,0,25,0022,0445,0428,-17.0,248,1984,0,0,0,0,0
2026-03-07,UA,UA2366,DFW,SFO,2012,2012,0,13,2025,0041,0033,-8.0,229,1832,0,0,0,0,0
2026-01-05,DL,DL7132,CLT,ATL,0127,0127,0,17,0144,0333,0312,-21.0,86,688,0,0,0,0,0
2026-02-27,AS,AS1056,LAX,DFW,0526,0526,0,23,0549,1016,1017,1.0,250,2000,0,0,0,0,0
2026-01-29,AA,AA1742,LAX,ATL,0142,0142,0,24,0206,0746,0722,-24.0,324,2592,0,0,0,0,0
2026-01-12,AS,AS483,SEA,SFO,1854,1854,0,25,1919,2326,2305,-21.0,232,1856,0,0,0,0,0
2026-01-12,AA,AA9264,LAX,JFK,0150,0150,0,13,0203,0518,0458,-20.0,168,1344,0,0,0,0,0
2026-02-06,DL,DL7840,JFK,DFW,2152,2152,0,21,2213,0055,0056,1.0,143,1144,0,0,0,0,0
2026-01-02,UA,UA4608,CLT,DFW,0309,0309,0,24,0333,0619,0600,-19.0,150,1200,0,0,0,0,0
2026-03-25,UA,UA8459,LAX,DEN,1738,2013,155,21,2034,2351,0205,134.0,333,2664,6,23,105,0,0
